text,label
"Science fiction, outside of poetry, is the only literary field which has no limits, no parameters whatsoever. - Theodore Sturgeon",bot
"In Case You Missed It: Broad Bipartisan Support to Extend the Production Tax Credit:  	Tomorrow the President wi... http://t.co/9YS2VZo8",bot
Happy birthday @MorganKokta! Hope your day is as good as that hot dog was,human
what went wrong http://t.co/HJZsnM07QD,human
Punx of Color playlist curated by Rita Mikhael (who runs cassette/zine/art label Summer Isle) for @DiasporaDrama mag http://t.co/oavZuh4AES,human
it must suck being in love with someone that's in love with someone else,human
@FinnyMcB Follow me!,bot
My little friend that I only I can see is wanting me to warn you that he thinks you have serious mental problems He He He!!  :&gt;),bot
"Read, and vote, for @EunYangNBC's @TodayShow post on ways to live a less stressful life: http://t.co/ENWKBRR3FW http://t.co/D40X8G91NW",human
I believe I called that Didi Gregorius move a few months ago.,human
"""Failures are finger posts on the road to achievement."" - C. S. Lewis",bot
"Kanye doesn't know two things about ""real artistry"" shut up and go play with your auto tune.",human
All the tragic news I've been hearing lately are seriously scaring the shit out of me.,human
"@BlueRinseUK ""Well done is better than well said."" - Benjamin Franklin",bot
My dog grabs my clothes and lays down on 'em because she misses me,human
Picard multiversal tip: Exercise makes you speak.,bot
Morning,human
@MichelleOlpin wow,bot
RT @CrownVick: Been Grinding All day S/O @A5iv3 @KidDricc @MoneyMouseBSM @Bossmann2008,bot
Wish I could go back to Thursday night,human
Picard management tip: Explain.,bot
Being home alone is so fun,human
Don't you hate it when you change your avi and all of your followers unfollow you at the exact same time? http://t.co/W8RTaFOUPQ,human
God bless America. God bless Israel. We stand with you. http://t.co/8frWfb3RcH,human
"President Obama Drops By Personal Finance Online Summit:  	President Obama dropped by a meeting at the White Hou... http://t.co/oPFlUrwk",bot
and now they're going to bed - some of them anyway http://t.co/6WXjc8kvgN,human
@_Stephaniedx3_ HEy,bot
"@MurdaFazeNEC Have you heard my ""Hot Nigga"" ( Remix ) #lovemelater coming soon",bot
Picard economic tip: Give orders are empathic and scoundrels. Try to your inner alarm. Be that make everyone else.,bot
"@deecoct ""Faith is the function of the heart."" - Mahatma Gandhi",bot
A ravishment victim pointed at one of the violators. Heartbreaking picture #PaghmanRape #Kabul #Afghanistan http://t.co/Ws0ILfz8eO,human
@MCDreamCars ahh,bot
"@kenlowery @missokistic Women bad at math cause they're too busy chanting the 77 un-names of creation, singing the unmaking song.",human
"@fionachavers ""Improvement begins with I."" - Arnold . Glasgow",bot
Bc I'm bored ok http://t.co/bdje2KdzSl,human
"""@anshetabss: How can emptiness be so heavy?""",human
"@kvmisiv ""Enthusiasm finds the opportunities, and energy makes the most of them."" - Henry Hoskins",bot
"Kevin arrived to BB during BB14, when Frank was eliminated, because his ex was into it #bbcan3",human
"@5SOSWITHVAMPS ""Man can believe the impossible, but can never believe the improbable."" - Oscar Wilde",bot
Trying to read a good book on wattpad? More like here's 1099 vampire stories,human
@followingfilms nice,bot
Thanks Roy cockrum http://t.co/X0AdCOwmyW,human
When people hate me for no reason https://t.co/RMpn70kvY3,human
@dburgess52  New FX forecast at http://www.fxstreet.com/technical/market-view/the-chartist-analysis/2010-03-11.html. Please follow me.,bot
@miklyutina wow,bot
"Any style that Nike makes in all black, shoe, sweatshirt, onesie, doesn't matter, I pretty much need to have. - Alexander Wang",bot
"Feelin good, feelin great, how you thoughBet you hear my name every single place that you go",human
"@TheDeltaOne  New FX forecast at http://bit.ly/9cSNrV , http://bit.ly/acdGcq Please follow me",bot
"My First Job: Richard Kind:  	Summer Jobs+ is a call to action for businesses, non-profits, and government to wo... http://t.co/YG9uyLCp",bot
"@Fariciity_ ""What would life be if we had no courage to attempt anything?"" - Vincent van Gogh",bot
"Inbuilding Project Manager III: Inbuilding Project Manager III Date: Mar 17, 2018 Location: Pleasanton, CA, US Company: Ericsson JOB DESCRIPTION: As an Inbuilding Project Manager you will be one of the keyâ€¦ https://t.co/UWRDSCL8aB ðŸ‘ˆ#IT #job #hiring  #IT #techjob #ITJob",bot
Great Introduction to Adam Faith  http://t.co/U8ZVVUZHaK,bot
"Picard management tip: Certain crew members, not really matters to say, take a time. The appearance for their drill sergeant.",bot
"Learn about the Bay Area city of Danville, California http://t.co/mh38CDU0N5",bot
"Brittnee: ""I miss Johnny"" Bruno: ""already?"" #bbcan3 http://t.co/uZorN7bDmA",human
@FlashCWFans Cool!,bot
Most of the people talking on twitter aren't even real fans they never watch soccer until the World Cup,human
Tennis is Known as The Kings Sport  - find out why... http://t.co/AZ3Dtsv9KY,bot
@NSGNino very cool,bot
Facebook Executive Hits Back at WhatsApp Co-founder Brian Acton: 'A Whole New Standard of Low-Class' https://t.co/Ee5ttUXb0Y,bot
In love with UCSD..,human
"@nflpicksfree ""You must not only aim right, but draw the bow with all your might."" - Henry David Thoreau",bot
"What $2,000 Means to Middle Class Families: Yesterday, President Obama called on Americans to speak out in favor... http://t.co/BQJsooQR",bot
Thanks @mittilla !! I'm tagging @Das_Drama_Lama @ahoiink @cucumber__devil @_myotis_ @AiobaMatto @TheGazettE_fan http://t.co/lKQI6elljz,human
"Manager, Application Development #42966: Discover Products Inc. seeks Manager, Application Development in New Albany, Ohio. * To perform system &amp; data analysis, database development, middle ware development &amp;â€¦ https://t.co/hNc4k9syBp ðŸ‘ˆ#IT #job #hiring  #IT #techjob #ITJob https://t.co/ZDpwFo8jkh",bot
Hans Muth and the Suzuki Bandit FatMile | http://t.co/ix4XmlSK1w http://t.co/0oOdhKbIqE,bot
I LOVE YOU SAMSTERS! 'TIL THE END OF INFINITY @samstersclan,human
Now screening: John Wick.,human
"17 Ks:1 walk this spring from Pineda is a continuation from '14. Big control, big fastball/slider. Tough day at the park for any offense.",human
@chareck3 hEyy,bot
"It is through cooperation, rather than conflict, that your greatest successes will be derived. -Ralph Charell",bot
"a lot of tweets today about judging gameplay/not as a person.. I'm the black sheep here, I judge by personality, so sue me",human
"@moose_musics ""Success is not final, failure is not fatal: it is the courage to continue that counts."" - Winston Churchill",bot
"3D Character Artist: Software development company seeking 3D Character Artist to translate concepts design into next-gen models of characters &amp; creatures. Requires: 4 years experience in job offered, or as a Character Artist, or related experienceâ€¦ https://t.co/wBBEl82W2i",bot
"@ggiii ""Do what you can, with what you have, where you are."" - Theodore Roosevelt",bot
"@_KevinMoon ""A ship is safe in harbour, but that's not what ships are for."" - William Shedd",bot
"""BECAUSE ITS POLITICALLY INCORRECT TO USE THE WORD RETARDS"" IM OUT",human
Great Introduction to Ray Conniff  http://t.co/R2TgvbXDLF,bot
RT @ComplexMag: A history of Nike suspending endorsement deals: http://t.co/OaZxo9dO06 http://t.co/VHPtl6iPvV,bot
"Senior Software Backend Engineer: Livongo Health, Inc. in Mountain View, CA seeks a Senior Software Backend Engineer to assist a team of software engineers to create software features for the companyâ€™s new data cloud. Must have Bachelorâ€™s degree orâ€¦ https://t.co/5FKHYCl4Lj https://t.co/F5vOb8fnbF",bot
THE CROWD GOES WILD! TOOT TOOT TOOT! and feeds cut http://t.co/EMIYO4SOQW,human
@sophiadelcarmen ahh,bot
omg why is everyone asleep,human
Randy Gregory is looming as an edge rusher that @BenRogers wants so bad. But how much do you like guys who get blocked by TE's?,human
All my Kansas teams are done and no one is winning the billion dollars. There may be no need to watch the Final 4 now.,human
"""All your friends are white, Rachel.""""No they're n-..... Yes, yes they are.""",human
Picard management tip: Give your best people who you have much you get a tantrum.,bot
Nice guys finish last,human
"@305_Michelle ""The roots of all goodness lie in the soil of appreciation for goodness."" - Dalai Lama",bot
ALSO proud of DeKalb CC (sweep!) &amp; Chesterton Pipers (4th),human
"""Behind every great man is a woman rolling her eyes."" -Jim Carrey",human
MODIFIED EURO BAZOOKA #WEF #WEF2015 #ECB https://t.co/h3Sv9W4KJp,human
@MODSUN inbox me your email and will i got one in the air for u now my hip,bot
"Curvy is not ""better"" than Thin. Both are simply body types that have been achieved maybe by hard work or genetics - NOT to benefit males!!",human
"@Coldplay_Radio ""Work hard but make sure you enjoy life too."" - Ted Smart",bot
"@LilBitchAssGabe ""Boxing is the gift I have been given for whatever reason and I'd love to honour God in everything I do."" - Katie Taylor",bot
China to buy advanced S-400 missiles from Russia http://t.co/zXmbwilHbB,human
"This is a perfect response to today's massacre, but it is a @NewYorker cartoon from several years ago https://t.co/feyRMwyCUi",human
Zayn after seeing the responses to his demo of I Won't Mindhttps://t.co/Sblb46r8Dk,human
are you kidding me http://t.co/2nK6CtrD4Z,human
"""Just go out there and do what you've got to do."" - Martina Navratilova",bot
@J_J_Driver Hey,bot
@Nollywoodpicstv amazing,bot
Birdo visibility is going to be around 10 km i.e. 6 miles and an atmospheric pressure of 1017 mb,human
"Nothing of worthy or weight can be achieved with half a mind, with a faint heart, and with a lame endeavor. -Isaac Barrow",bot
"@HypeManCoopSDM ""Nothing is so fatiguing as the eternal hanging on of an uncompleted task."" - William James",bot
Atleast I said happy birthday to my dad at midnight his birthday was like a month ago,human
YES Ã¢â‚¬Å“@Variety: Andrew Dice Clay will star in a semi-autobiographical comedy series for Showtime http://t.co/GLLxAp2QSW Ã¢â‚¬Â,human
@LeahMellinger nice!,bot
"@rap_suga ""Some people grumble because roses have thorns; I am thankful that the thorns have roses."" - Alphonse Karr",bot
The #cowboys and #Eagles look like they changed jerseys since Thanksgiving.,human
Microsoft Unveils Surface Laptop 2 and Surface Pro 6 https://t.co/2FBKeK8yPn,bot
@_AmAsian cool,bot
Scientists Find 'Super-Earth' In Star System From 'Star Trek' https://t.co/IP1Ji5j34j,bot
@_TeAmoAmor ain't shit up late mobbing what you on,bot
RT @LeosWeAre: #Leo's cut the BS,bot
"For those who don't understand the #AucklandPowerOutage or can't read, here is a picture of how Transpower works.. http://t.co/fR4sjhrmQK",human
"Full Stack Developer / Front End: Software Developer Fastcase is looking for a software engineer with experience in front end development to join its growing legal analytics software team in Washington, D.C. Weâ€™re using technologies like Elasticsearch,â€¦ https://t.co/ShcR7p3ev2 https://t.co/x5rzPZKpNj",bot
Nate Eovaldi has fine tuned his secondary pitches &amp; he's had a terrific spring to show for it. 0.66 ERA with 0BB and 14K in 13.2 IP.,human
RT @Damien_Prince: I'm still loyal to OkC only on NBA 2k,bot
Ahhh I took a long and relaxing bath =w=,human
"Business Systems Analyst: The Orange Water and Sewer Authority (OWASA), a progressive water utility providing water, sewer and reclaimed water services to the Towns of Chapel Hill, Carrboro and the University of North Carolina at Chapel Hill, seeks aâ€¦ https://t.co/9Uih19CC6N https://t.co/YqkWnOVb6l",bot
"@marcosposada ""The way to get started is to quit talking and begin doing."" - Walt Disney",bot
@jonnyseoul !,bot
"@courfdog ""Wealth is the ability to fully experience life."" - Henry David Thoreau",bot
"IT Infrastructure Operations Manager Job: IT Infrastructure Operations Manager (Job Number:434699) Description: Job Description: Provides technical support to field engineers, technicians, and product support personnel who are diagnosing,â€¦ https://t.co/DRb3LsjTSZ https://t.co/NBf844IuYM",bot
@relexkidrauhl cool,bot
~ cheers to the haters ~ http://t.co/cSk6Efzukq,human
"Weekly Address: An All-Of-The-Above Approach to American Energy:  	President Obama talks about how important it ... http://t.co/428kewy9",bot
#TheBachelorette is pretty boring this season. Not even a sexual make out in a dark alley can save it at this point. #yawn,human
"@69psd_bekasi ""We must embrace pain and burn it as fuel for our journey."" - Kenji Miyazawa",bot
@katelynkuehl decided to get a haircut. #soshort http://t.co/MMMALF5Xl9,human
You'd think a guy who over pronounces his own name as hard as Guy Fieri would be able to pronounce Spanish words but you'd be wrong.,human
I'm excited to get my film scans back from @PhotoworksSF tomorrow.,human
Katy Perry's Claim to Own Copyright of Left Shark http://t.co/EmJMqxruYK http://t.co/tEGyAvGdba #freeleftshark,human
Sex Criminals cover tribute by @GirlGotStyle and me https://t.co/rv7PL98Z2A cc/ @zdarsky @mattfraction http://t.co/Ei2mVuRzVM,human
Niggas will cheat on the girl they never want to lose with a girl that they never plan to keep!,human
Ã¢â‚¬ËœEkstraÃ¢â‚¬â„¢ hailed as best foreign feature film in Houston fest http://t.co/Ok095CJ1LQ | @InqEnt http://t.co/AKKPKWV7te,human
"""liz, i'd be surprised if you ever got married. not that, like, you couldn't get married, but you just love yourself so much""",human
#TristanVersusCellPhoneNetworks2014 http://t.co/CqmT48MuaT,human
Featured today on @sfgirlbybay's blog is the home of nathiya and @mrsoraj. Go take a look. #notiphone https://t.co/jUkSbXv1wQ,human
Morkur fell in love with a hustla,human
"Accessory store, name: Johnny Depp's Attic.",human
Another highlight from the Yankee infield. #Ryan,human
@PacketWeekender ok,bot
"@Allups123 ""Anticipate the difficult by managing the easy."" - Lao Tsu",bot
piggy backs for nolans new dog http://t.co/HMViozHPW4,human
"""The important things are children, honesty, integrity and faith."" - Andy Williams",bot
@ChampCityPro nice...,bot
"spectacular sunset, tonight. http://t.co/RKvlbmEgjQ",human
"""To climb steep hills requires slow pace at first."" - William Shakespeare",bot
"@joshbhurst ""Remember that you are unique. If that is not fulfilled, then something wonderful has been lost."" - Martha Graham",bot
"@crinn0 ""You have to have confidence in your ability, and then be tough enough to follow through."" - Rosalynn Carter",bot
"When love is real, it finds a way",human
Oh yeah and if @OThankKevin wants to try his RWilson is better than Romo crap again ya'll let him know. @OThankKevin #Tough #Win,human
"Join the Conversation: Discussion on the Obama Administrationâ€™s Strategy towards sub-Saharan Africa:  	Note: Pla... http://t.co/NYMKlRAg",bot
"Now On Air, Celia Veloso, mother of Mary Jane Veloso. Follow @dzIQ990 for more updates. #MaryJaneLives https://t.co/KsaYrY81pI",human
@AlwaysAmongYou Tom made a pouty face and clung to her tail. He /really/ liked tails.,bot
PNP: Police morale low over arrest of drug lord in cahoots with jail guard http://t.co/8ZdCEEzSJ6 | @JLDejesusINQ http://t.co/jeP2B38HgN,human
"@silvia_adris ""Work hard and take risks and you will be rewarded."" - Jill Barker",bot
Thx for crashing our date Ã¢â‚¬Å“@shelbylexanna: Third wheel front porch sitting http://t.co/U8D74yhtXRÃ¢â‚¬Â,human
spent most of today so far learning the lyrics to anaconda,human
"@nyobeats2 ""Great minds talk about ideas, average minds talk about events, and small minds talk about people."" - Eleanor Roosevelt",bot
Well my work here is done. Good night! http://t.co/NeH6gEfdMf,human
"Thanks, Toronto. We will take it from here.",human
Jlowe just said Mrs. Gayle was fine...,human
Your hearts in the right place but do you think African kids give a flying fuck about learning to surf http://t.co/SRqgBalNdH,human
"@callmeshitto @basedappy you're a digital Casio kinda guy aren't you, Shitto",human
michael palo doesn't have a wikipedia page because traffic would increase tenfold and crash the site #palo4king,human
@sjsharkie hooray got a great photo of the amazing suit. I still want the socks! :) http://t.co/eIXoiuGwPc,human
noble-minded murky green maggoty deep turquoise depauperate orangey brown https://t.co/ZTyah6g0G0,bot
The place we are at is playing Five songs and suddenly I feel I'm 17 and in Marina again...,human
"Nah but forreal, who wants a Husky? http://t.co/55fFqdXitY",human
"Anyone could watch, but it's funny, so whatever.",bot
"Can really see the effort being put forth on defense and the glass in this game. That's what's been lacking, good to see a change.",bot
So many slick and fake people these days! Smh that's what this world has came too.,human
"""Either you run the day or e day runs you."" - Jim Rohn",bot
"""New on Buzzfeed Video, one of our staffers reacts to seeing a napkin for the first time. Sa dah tay, sah da toobitay tayÃ¢â‚¬Â¦""",human
You And Taquitos Make Me Crazy.,human
@itsDanielBoone Cool page,bot
"@__Flipp ""The most beautiful thing we can experience is the mysterious. It is the source of all true art and science."" - Albert Einstein",bot
In a Japanese restaurant and I swear to god there's a man in the back screaming as hard as he can at everything/everyone,human
#BREAKING: Police-involved shooting results in large police presence at 11th and H Streets in NE D.C. http://t.co/fBm9yRyKaR,human
@KjkWaku cool,bot
@StatusVisuals amazing,bot
No I don't reward anonymous trolls with publicity nor do I want to empower harassment in return,bot
RT @samOdaDon: I'm sorry I have no respect for Lance Stephenson,bot
"@_KUBBI Sorry I bought a CD, now you have to ship it :(",human
Marlon Byrd is in the Phillies lineup. It's puzzling as to what the Phillies organization is doing now.,human
@swolecarel hey,bot
Shoutout to ms hanua for losing my textbook on the last day of school and making the school send me letters for it,human
Make Your Own Ice Cream Cookie Bowls - YUM! http://t.co/NH5npGoBcn,bot
The Employment Situation in November: With solid job growth in November â€“ in addition to strong data on manufa... http://t.co/d9Zy9YQQfo,bot
one of my useless talents: I'm really good at recognizing seiyuu's voicesI always make my friends mad bc of this xDDD,human
"This was nominated for a Crunchie, but wasn't selected as already made of automatons, and secure Windows computers.",bot
season 2 of COMMUNITY is peak tv.,human
@fkhan150 New FX forecast at http://www.fxstreet.com/technical/market-view/the-chartist-analysis/2010-03-11.html. Please follow me.,bot
@BeauregardJones I vote for this http://t.co/SdLLt9mRua,human
"""Today is your day, your mountain is waiting, so get on your way."" - Dr Seuss",bot
RT @itsnicethat: HereÃ¢â‚¬â„¢s a lovely film about @jean_jullien by @Handsome_Frank Ã¢â‚¬â€œ http://t.co/tMQjqVNtk2 http://t.co/S3pQDer634,bot
@ChaseAllanMusic Cool page,bot
Nice turn by Stephen Drew to turn that DP. Yankee defense markedly improved over the first week of the season. No surprise there.,human
I just hope Eddie Redmayne brings the same panache to effeminate evil space king as he did to beatific disabled physicist.,human
"Project Manager â€“ Public Trust Clearance: Requisition ID *******Posting Date 01/06/2018Category ServicesLocation Seaside, California | United StatesSchedule Full-timeEmployee Status Day JobEEO Tagline: DXC Technology is EEO F/M/Protected Veteran/â€¦ https://t.co/2dIegzKOge https://t.co/TVjSiZeWA2",bot
#IllusionOfChoice http://t.co/EppO5eczJz,human
#tbt when @ngalarus jumped out the window at a party http://t.co/zXEVAe8F63,human
@DudeFromTwitta nicccce,bot
It's not about who you were in the pastIt's about who you become in the future,human
#5Years5MinutesPH remember when they were still on x-factor http://t.co/fWmd5ZXMXy,human
The lure of the distant and the difficult is deceptive. The great opportunity is where you are. -John Burroughs,bot
"Baltimore Police: Curfew discretion will be given for medical emergency, work http://t.co/u3rkAiDUvf",human
drunkenly walking through campus at 1:30 in the morning on a tuesday. this is college,human
"Have fun at the Niners game mom and dad, not like I wanted to go or anything",human
I wanted to reduce collisions.,bot
"I hate most of what constitutes rock music, which is basically middle-aged crap. - Sting",bot
All night #PIECEATHON,human
??-you was on my allstar team and we beat south ass but you seem like a cool kid and you can catch for a white boy ????hmu sometime kid,bot
In the past four weeks I have gone to exactly eight days of school,human
Arum: Pacquiao has strategy set to run for president in 2022 http://t.co/7QMIl71tuj,human
"""If we did all the things we are capable of doing, we would literally astound ourselves."" - Thomas Edison",bot
"@karindcollins ""You are the only person on earth who can use your ability."" - Zig Ziglar",bot
"""Can I come pick you up Sunday morning for church? Because I'm preaching"" #BrandonIsCute",human
I therefore conclude that mathematics can be applied in real life situations. Lol,human
The one time the West Coast is awake before the East Coast.,human
@chinanewsbreak New FX forecast at http://www.fxstreet.com/technical/market-view/the-chartist-analysis/2010-03-11.html. Please follow me.,bot
@asherunderwood you need a vip account from #TALNTS,bot
Country music always has me feelin some typa way,bot
@kardnydbekf hello,bot
2015 NFL Draft: USC Defensive Standout Remains Leader On Top-50 Draft Board 2.0: With the NFL Combine complete... http://t.co/jikYkjNGLu,human
school tomorrow got me like.... http://t.co/N0ohJJue8s,human
The end of the school year is getting closer :))) and than ill be making $$$$ erydaay ima go M.I.A,human
@ProducerSoundz f4f?,bot
I took a ride on a magical log,human
@ScottyProAnalog Recommended Reading: Turning Points - inspiring stories from women entrepreneurs,bot
@MARTlANEYES hEyy,bot
"Great News from #KyanjinGompa : Many Rescued !! #LangTang ; they will connect to families after reaching ""Army Camp"" #OperationMaitri",human
So excited for tomorrowÃ¢ÂÂ¤Ã¯Â¸Â,human
"@palash4 ""Life has no limitations, except the ones you make."" - Les Brown",bot
Some lil sophmore nigga was tryna gas some special ed girl and I gassed the shit out of that nigga now he said im on you afta skoooo,human
ETL Developer: ETL Developer Posted Date 1 week ago(3/7/2018 6:03 PM) ID 2018-30320 Job Location USA-DC-Washington Required Clearance Top Secret Category Engineering-Software Employment Type Full Time Hiring Company General Dynamics Mission Systems Basicâ€¦ https://t.co/fzqtNPRBt9 https://t.co/NEs7se2d50,bot
"InfoSec people either love talking, or just the ones who take vertical videos.",bot
This guy has scored more than the Yankees this season. http://t.co/JSXUGj3wfA,human
If anyone here was happy with their lives they'd be doing this 25 years and I still don't know how many commas to use.,bot
"@ARTPOP94 ""It is not because things are difficult that we do not dare, it is because we do not dare that they are difficult."" - Seneca",bot
This is what I thought of as soon as I saw the pic that Ed took of me. @millaa_24 http://t.co/5bCv1MF0Nm,human
"When you see a character, a situation, a relationship that you can relate to and say Ã¢â‚¬Å“OH, THATÃ¢â‚¬â„¢S LIKE ME!Ã¢â‚¬Â itÃ¢â‚¬â„¢s so great...",human
Picard management tip: It could bring a vacation.,bot
omg...today it's been two years since I went to my fave singer's concert with my sister TvT ...I even drew this XD http://t.co/c5zSQ8vnoA,human
"Software Engineer Developer: Description:   Functional Responsibility:  Complete understanding and wide application of technical principles, theories and concepts, in the field.  General knowledge of other related disciplines.  Provides technicalâ€¦ https://t.co/awHLqg5YtW https://t.co/vEdrCPRK8N",bot
